Identifier;DimensionGroupId;DimensionId;Index;Title;Description;Status
2007JJ00;0;Perioden;1;2007;;Definitief
2008JJ00;0;Perioden;2;2008;;Definitief
2009JJ00;0;Perioden;3;2009;;Definitief
2010JJ00;0;Perioden;4;2010;;Definitief
2011JJ00;0;Perioden;5;2011;;Definitief
2012JJ00;0;Perioden;6;2012;;Definitief
2013JJ00;0;Perioden;7;2013;;Definitief
2014JJ00;0;Perioden;8;2014;;Definitief
2015JJ00;0;Perioden;9;2015;;Definitief
2016JJ00;0;Perioden;10;2016;;Definitief
2017JJ00;0;Perioden;11;2017;;Definitief
2018JJ00;0;Perioden;12;2018;;Definitief
2019JJ00;0;Perioden;13;2019;;Definitief
2020JJ00;0;Perioden;14;2020;;Definitief
2021JJ00;0;Perioden;15;2021;;Definitief
2022JJ00;0;Perioden;16;2022;Nader voorlopige cijfers;NaderVoorlopig
2023JJ00;0;Perioden;17;2023;Voorlopige cijfers;Voorlopig
