Id;Index;Title;Description;ParentId;DimensionId
NL;0;Nederland;;;RegioS
LD;1;Landsdelen;;;RegioS
PV;2;Provincies;;;RegioS
CRPV;3;COROP gebieden per provincie;;;RegioS
CRPV20;4;Groningen (PV);;CRPV;RegioS
CRPV21;5;Fryslân (PV);;CRPV;RegioS
CRPV22;6;Drenthe (PV);;CRPV;RegioS
CRPV23;7;Overijssel (PV);;CRPV;RegioS
CRPV24;8;Flevoland (PV);;CRPV;RegioS
CRPV25;9;Gelderland (PV);;CRPV;RegioS
CRPV26;10;Utrecht (PV);;CRPV;RegioS
CRPV27;11;Noord-Holland (PV);;CRPV;RegioS
CRPV28;12;Zuid-Holland (PV);;CRPV;RegioS
CRPV29;13;Zeeland (PV);;CRPV;RegioS
CRPV30;14;Noord-Brabant (PV);;CRPV;RegioS
CRPV31;15;Limburg (PV);;CRPV;RegioS
