"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Regio's";"Vestigingen (Aantal)"
"A-U Alle economische activiteiten";"2023";"Groningen (PV)";"65470"
"A-U Alle economische activiteiten";"2023";"Fryslân (PV)";"80905"
"A-U Alle economische activiteiten";"2023";"Drenthe (PV)";"56030"
"A-U Alle economische activiteiten";"2023";"Overijssel (PV)";"135180"
"A-U Alle economische activiteiten";"2023";"Flevoland (PV)";"56745"
"A-U Alle economische activiteiten";"2023";"Gelderland (PV)";"271255"
"A-U Alle economische activiteiten";"2023";"Utrecht (PV)";"202020"
"A-U Alle economische activiteiten";"2023";"Noord-Holland (PV)";"477365"
"A-U Alle economische activiteiten";"2023";"Zuid-Holland (PV)";"504685"
"A-U Alle economische activiteiten";"2023";"Zeeland (PV)";"47245"
"A-U Alle economische activiteiten";"2023";"Noord-Brabant (PV)";"340445"
"A-U Alle economische activiteiten";"2023";"Limburg (PV)";"121250"
"A-U Alle economische activiteiten";"2023";"Buitenland (PV)";"0"
"A-U Alle economische activiteiten";"2023";"Niet in te delen (PV)";"4695"
